time,strategy,symbol,side,timeframe,setup_type,entry,stop,tp1,tp2,tp3,planned_rr,trigger,status,last_checked
2026-09-19T07:41:20.889244+00:00,CREAMER_CRYPTO,AKE-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + VAH/premium rejection | 1H env=LONG L5/S0 | location score 4,0.05889,0.0642777142857,0.0521553571429,0.0481145714286,0.0427268571429,2,"absorption proxy, reaction candle, volume confirmation | score 4",STOP,2026-09-19T10:14:39.734319+00:00
2026-09-19T07:41:36.009718+00:00,CURRENT,ROBO-USDT-SWAP,LONG,1h/30m/15m,Liquidity Sweep/Reclaim,0.008738,0.00846499285714,0.00907925892857,0.00928401428571,0.00955702142857,2,Bullish candle + 15m structure/momentum,TP3,2026-09-20T05:52:49.126290+00:00
2026-09-19T07:41:45.650708+00:00,CURRENT,MON-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,0.02392,0.0242185,0.023546875,0.023323,0.0230245,2,Bearish candle + 15m structure/momentum,STOP,2026-09-19T08:16:00.685490+00:00
2026-09-19T07:41:45.651010+00:00,CREAMER_CRYPTO,MON-USDT-SWAP,LONG,1h/30m/15m,VAL/discount rejection | 1H env=NEUTRAL L3/S2 | location score 4,0.02392,0.0235715,0.024355625,0.024617,0.0249655,2,"absorption proxy, reaction candle, volume confirmation | score 4",TP3,2026-09-19T11:27:33.046890+00:00
2026-09-19T07:42:07.047581+00:00,CURRENT,BEAT-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,0.08437,0.0860267142857,0.0822991071429,0.0810565714286,0.0793998571429,2,Bearish candle + 15m structure/momentum,STOP,2026-09-19T10:43:24.304785+00:00
2026-09-19T07:42:09.977320+00:00,CREAMER_CRYPTO,NIGHT-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim | 1H env=LONG L5/S0 | location score 3,0.02451,0.0256143142857,0.0231296071429,0.0223013714286,0.0211970571429,2,"reaction candle, displacement, 15m structure break, volume confirmation | score 5",OPEN,2026-09-20T08:55:33.867596+00:00
2026-09-19T07:53:31.704759+00:00,CURRENT,RLS-USDT-SWAP,SHORT,1h/30m/15m,Breakdown,0.00227,0.00231621428571,0.00221223214286,0.00217757142857,0.00213135714286,2,Bearish candle + 15m structure/momentum,STOP,2026-09-19T10:53:25.795356+00:00
2026-09-19T08:16:07.855717+00:00,CREAMER_CRYPTO,BOME-USDT-SWAP,LONG,1h/30m/15m,downside sweep/reclaim | 1H env=NEUTRAL L3/S2 | location score 3,0.0009621,0.000951905714286,0.000974842857143,0.000982488571429,0.000992682857143,2,"failed auction/reclaim, reaction candle, displacement | score 4",TP3,2026-09-19T17:13:01.882279+00:00
2026-09-19T08:16:43.856817+00:00,CURRENT,BEAT-USDT-SWAP,LONG,1h/30m/15m,Liquidity Sweep/Reclaim,0.08513,0.0842062142857,0.0862847321429,0.0869775714286,0.0879013571429,2,Bullish candle + 15m structure/momentum,STOP,2026-09-19T09:15:06.537795+00:00
2026-09-19T08:16:43.857142+00:00,CREAMER_CRYPTO,BEAT-USDT-SWAP,LONG,1h/30m/15m,downside sweep/reclaim + failed breakdown | 1H env=NEUTRAL L1/S2 | location score 4,0.08513,0.0842062142857,0.0862847321429,0.0869775714286,0.0879013571429,2,"absorption proxy, failed auction/reclaim, reaction candle, displacement | score 7",STOP,2026-09-19T09:15:07.167163+00:00
2026-09-19T08:32:20.972357+00:00,CURRENT,ZAMA-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.07294,0.0611080714286,0.0877299107143,0.0966038571429,0.108435785714,2,Bullish candle + 15m structure/momentum,TP1,2026-09-20T08:55:34.055534+00:00
2026-09-19T08:32:37.202900+00:00,CURRENT,CAP-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.05988,0.0557727857143,0.0650140178571,0.0680944285714,0.0722016428571,2,Bullish candle + 15m structure/momentum,TP3,2026-09-19T13:14:48.322616+00:00
2026-09-19T08:45:58.583783+00:00,CURRENT,ENA-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.19212,0.177638357143,0.210222053571,0.221083285714,0.235564928571,2,Bullish candle + 15m structure/momentum,TP2,2026-09-20T08:55:34.244567+00:00
2026-09-19T09:15:58.807573+00:00,CREAMER_CRYPTO,BIGTIME-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.008004,0.00806975714286,0.00792180357143,0.00787248571429,0.00780672857143,2,"failed auction/reclaim, reaction candle, volume confirmation | score 4",STOP,2026-09-19T09:53:24.222843+00:00
2026-09-19T09:30:06.811751+00:00,CREAMER_CRYPTO,HMSTR-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L4/S1 | location score 3,0.0001671,0.000167765,0.00016626875,0.00016577,0.000165105,2,"absorption proxy, reaction candle, volume confirmation | score 4",STOP,2026-09-19T10:14:41.924798+00:00
2026-09-19T09:30:59.741887+00:00,CURRENT,BIGTIME-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.00808,0.00784957142857,0.00836803571429,0.00854085714286,0.00877128571429,2,Bullish candle + 15m structure/momentum,TP1,2026-09-20T08:55:34.439201+00:00
2026-09-19T09:31:01.465443+00:00,CREAMER_CRYPTO,AI-USDT-SWAP,SHORT,1h/30m/15m,upside sweep/reclaim + failed breakout | 1H env=LONG L5/S0 | location score 4,0.02015,0.0203438571429,0.0199076785714,0.0197622857143,0.0195684285714,2,"absorption proxy, failed auction/reclaim, reaction candle, volume confirmation | score 6",STOP,2026-09-19T17:26:17.388340+00:00
2026-09-19T10:14:49.231978+00:00,CREAMER_CRYPTO,IOST-USDT-SWAP,SHORT,1h/30m/15m,VAH/premium rejection | 1H env=LONG L5/S0 | location score 3,0.0008381,0.000848567142857,0.000825016071429,0.000817165714286,0.000806698571429,2,"absorption proxy, failed auction/reclaim, reaction candle, volume confirmation | score 6",STOP,2026-09-19T11:27:35.423372+00:00
2026-09-19T10:43:43.373780+00:00,CURRENT,MEW-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.0004215,0.000416138571429,0.000428201785714,0.000432222857143,0.000437584285714,2,Bullish candle + 15m structure/momentum,TP1_THEN_STOP,2026-09-20T03:15:08.706725+00:00
2026-09-19T10:43:46.796150+00:00,CURRENT,PEOPLE-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.009084,0.00883521428571,0.00939498214286,0.00958157142857,0.00983035714286,2,Bullish candle + 15m structure/momentum,TP1_THEN_STOP,2026-09-20T02:55:52.954765+00:00
2026-09-19T10:44:01.517885+00:00,CURRENT,TRIA-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.004075,0.00393248571429,0.00425314285714,0.00436002857143,0.00450254285714,2,Bullish candle + 15m structure/momentum,STOP,2026-09-19T18:53:26.644162+00:00
2026-09-19T10:54:00.617452+00:00,CURRENT,SUI-USDT-SWAP,LONG,1h/30m/15m,Breakout,0.8527,0.821431428571,0.891785714286,0.915237142857,0.946505714286,2,Bullish candle + 15m structure/momentum,STOP,2026-09-20T03:15:09.337682+00:00
